ID,mobilenet_full
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,1
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,1
147,1
148,1
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,0
183,1
184,1
185,0
186,1
187,1
188,1
189,0
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,0
208,1
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,1
236,1
237,0
238,1
239,0
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,0
279,0
280,1
281,1
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,1
296,0
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,1
307,1
308,1
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,0
339,0
340,0
341,0
342,1
343,1
344,0
345,0
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,1
376,0
377,0
378,1
379,1
380,0
381,1
382,0
383,0
384,1
385,1
386,0
387,0
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,1
417,1
418,1
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,0
427,1
428,1
429,1
430,1
431,1
432,0
433,0
434,0
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,1
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,1
477,0
478,1
479,1
480,0
481,1
482,1
483,0
484,0
485,0
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,1
494,1
495,0
496,0
497,1
498,0
499,1
